time,step,wmax,phi_prime,energy,enstrophy,continuations,bkm
0.0,0,2.0000000000000067,1.9980807624597476,262144.0000000001,786432.0000000002,0,0.0
0.019980810358017086,100,1.9997991993695838,1.998081595065901,262143.68572486116,786463.7632217841,0,0.039960279398807835
0.03996163729797084,200,1.9991993664811871,1.9980840968640057,262143.37142369687,786560.9500712242,0,0.07991259306412928
0.05994249756400969,300,1.998201012452105,1.998088279716568,262143.05707009428,786723.5958466947,0,0.11984900599212964
0.07992340805696223,400,1.9968049864191046,1.9980941631167553,262142.74263761603,786951.7597781891,0,0.15976159700493428
0.0999043859086815,500,1.9950124739358488,1.9981017737633162,262142.42809979417,787245.5249981026,0,0.19964246559703686
0.11988544855129675,600,1.9928249947399042,1.9981111449655455,262142.11343011714,787604.9985007036,0,0.23948373873208187
0.1398666137796749,700,1.9902443998976236,1.998122315878641,262141.79860202054,788030.3110904107,0,0.27927757757384736
0.15984789980539968,800,1.9872728683373586,1.9981353305703737,262141.48358887338,788521.6173189586,0,0.3190161841355281
0.17982932530058976,900,1.9839129027837554,1.998150236920986,262141.16836397236,789079.0954116111,0,0.35869180783178856
0.19981090942990332,1000,1.980167325107871,1.9981670853597104,262140.8529005276,789702.9471825145,0,0.398296751918489
0.21979267186912063,1100,1.9760392711100259,1.9981859274433869,262140.53717165397,790393.3979393865,0,0.4378233798055335
0.23977463280876404,1200,1.9715321847541039,1.9982068142853717,262140.22115036412,791150.6963776953,0,0.47726412122892814
0.25975681294131137,1300,1.966649811873853,1.998229794846351,262139.90480955495,791975.1144644773,0,0.5166114782688845
0.27973923343069784,1400,1.9613961933734056,1.9982549141027297,262139.58812200313,792866.9473120256,0,0.5558580312016805
0.2997219158629752,1500,1.955775657945658,1.9982822111129606,262139.27106035143,793826.5130415912,0,0.5949964441739598
0.3197048821772357,1600,1.9497928143335712,1.99831171700736,262138.953597105,794854.1526373569,0,0.634019470689301
0.3396881545761775,1700,1.9434525431604603,1.9983434529325117,262138.6357046199,795950.2297908572,0,0.6729199588980884
0.35967175541603985,1800,1.9367599883563784,1.9983774279870987,262138.31735509774,797115.1307361266,0,0.7116908566831068
0.3796557070760278,1900,1.929720548208347,1.998413637191674,262137.9985205792,798349.2640758324,0,0.7503252165347257
0.39964003180779584,2000,1.922339866062704,1.998452059540222,262137.67917293528,799653.0605986997,0,0.7888162002111047
0.4196247515660681,2100,1.9146238207081472,1.9984926561860665,262137.3592838615,801026.9730886098,0,0.8271570831804717
0.43960988782201305,2200,1.9065785164680948,1.9985353688183867,262137.03882487275,802471.4761257966,0,0.8653412588441918
0.45959546136156576,2300,1.8982102730308401,1.998580118287957,262136.71776729802,803987.0658806474,0,0.9033622425409972
0.4795814920714882,2400,1.8895256150456337,1.9986268035413883,262136.3960822727,805574.2599007068,0,0.9412136753343882
0.49956799871653546,2500,1.8805312615123577,1.998675300921731,262136.07374073702,807233.5968916236,0,0.9788893275867452
0.5195549987116691,2600,1.8712341149917178,1.9987254638895608,262135.75071342912,808965.6364928499,0,1.016383102325102
0.5395425078937613,2700,1.861641250662155,1.9987771232123541,262135.4269708809,810770.9590490919,0,1.0536890384047448
0.5595305402976782,2800,1.8517599052487934,1.9988300876609504,262135.10248341318,812650.1653786271,0,1.090801313477787
0.5795191079419474,2900,1.8415974658488314,1.9988841452402015,262134.7772211322,814603.8765397713,0,1.1277142467745764
0.5995082206294435,3000,1.8311614586768734,1.9989390649666676,262134.4511539239,816632.733596911,0,1.164422301706144
0.61949788576855,3100,1.8204595377528523,1.9989945991897546,262134.12425144875,818737.397387682,0,1.2009200882959525
0.639488108220135,3200,1.8094994735544114,1.9990504864344572,262133.79648313826,820918.5482930044,0,1.2372023654488282
0.659478890175382,3300,1.7982891416549407,1.9991064547245565,262133.46781818912,823176.8860117709,0,1.273264043064241
0.679470231068985,3400,1.7868365113679738,1.9991622253255041,262133.13822555623,825513.1293420922,0,1.3091001840000132
0.6994621275315287,3500,1.7751496344183397,1.999217516827223,262132.8076739472,827928.0159710457,0,1.3447060058911047
0.7194545733839869,3600,1.7632366336602687,1.999272049469691,262132.47613181718,830422.302274871,0,1.3800768828264511
0.739447559676227,3700,1.7511056918626962,1.999325549599448,262132.14356735692,832996.7631314875,0,1.4152083468849168
0.7594410747702166,3800,1.738765040582242,1.9993777541340756,262131.80994848843,835652.1917471861,0,1.4500960895293997
0.7794351044673911,3900,1.7262229491445809,1.999428414905104,262131.47524285456,838389.3994991109,0,1.4847359628561334
0.799429632178303,4000,1.713487713755388,1.999477302748367,262131.13941781156,841209.2157950156,0,1.5191239806941927
0.8194246391314023,4100,1.700567646762445,1.9995242112150151,262130.8024404164,844112.4879514971,0,1.5532563195485527
0.8394201046165601,4200,1.687471066090935,1.9995689597862891,262130.46427741606,847100.0810916537,0,1.5871293193784715
0.85941600625786,4300,1.6742062848742598,1.9996113964905766,262130.12489523995,850172.8780627996,0,1.620739484201983
0.8794123203092549,4400,1.660781601302828,1.9996513998416476,262129.78425998404,853331.7793744962,0,1.654083482516602
0.8994090219660104,4500,1.6472052887132942,1.999688880041385,262129.44233740272,856577.7031568957,0,1.687158147526266
0.9194060856843865,4600,1.6334855859402833,1.9997237794176568,262129.09909289362,859911.5851389909,0,1.7199604771649577
0.9394034855019119,4700,1.6196306879521032,1.9997560720967789,262128.75449148883,863334.3786461214,0,1.7524876339084308
0.959401195350693,4800,1.6056487367908603,1.9997857629388223,262128.40849783865,866847.0546157486,0,1.784736944366919
