step,t,tau,w_inf,E,Z,P_in,epsilon,phi_prime
1,0.0,0.0,8.655680598543725,0.2529806605082575,16.203244267960923,-1.2574122763217406,2.545199657827348e-05,2.5051949260202737
2,0.015031169556121642,0.006,8.703388087243232,0.25598987569424225,16.395833488995432,-1.2648688585172683,2.575451501925478e-05,2.5144994326324945
3,0.03011816615191661,0.012,8.750919312061942,0.25900566644066797,16.588843549169773,-1.2722978908665652,2.6057694512811097e-05,2.523823878529555
4,0.04526110942309394,0.018000000000000002,8.798275200523559,0.262027895632276,16.782265673105535,-1.2796995183418645,2.636152127461026e-05,2.5331681238660777
5,0.060460118166290405,0.024,8.845456676606045,0.26505642802255786,16.976091205024126,-1.2870738853611763,2.666598170818705e-05,2.5425320293630014
6,0.07571531034246841,0.03,8.89246466070216,0.2680911302120076,17.170311607354932,-1.294421135782125,2.6971062402756905e-05,2.551915456312899
7,0.0910268030803458,0.036,8.939300069581645,0.2711318706265303,17.364918459353476,-1.3017414128960383,2.7276750131045334e-05,2.5613182665850633
8,0.10639471267985619,0.041999999999999996,8.98596381635495,0.2741785194960101,17.559903455729742,-1.3090348594222767,2.758303184713329e-05,2.5707403226303653
9,0.12181915461563839,0.047999999999999994,9.032456810438498,0.2772309488330369,17.75525840528674,-1.3163016175028042,2.7889894684318625e-05,2.580181487485899
10,0.13730024354055378,0.05399999999999999,9.078779957521444,0.2802890324117977,17.9509752295695,-1.323541828696997,2.819732595299395e-05,2.589641624779409
11,0.15283809328923023,0.05999999999999999,9.124934159533932,0.28335264574713104,18.14704596152461,-1.330755633976677,2.8505313138541022e-05,2.599120598733506
12,0.16843281688163125,0.06599999999999999,9.170920314616767,0.2864216660737483,18.343462744170346,-1.3379431737213745,2.8813843899241815e-05,2.608618274169678
13,0.1840845265266493,0.072,9.216739317092493,0.2894959723256216,18.54021782927751,-1.3451045877138104,2.9122906064206363e-05,2.6181345165120997
14,0.1997933336257219,0.078,9.262392057437882,0.2925754451155419,18.737303576061176,-1.3522400151355933,2.9432487631317777e-05,2.6276691917912376
15,0.21555934877646934,0.084,9.307879422257782,0.2956599667148467,18.93471244988324,-1.3593495945631306,2.9742576765194192e-05,2.6372221666472733
16,0.231382681776353,0.09000000000000001,9.353202294260212,0.2987494210333197,19.132437020966005,-1.366433463963742,3.0053161795168095e-05,2.6467933083333337
17,0.247263441626353,0.09600000000000002,9.39836155223287,0.3018436935992629,19.33046996311681,-1.3734917606919845,3.0364231213282965e-05,2.6563824847185242
18,0.26320173653466417,0.10200000000000002,9.44335807102081,0.30494267153974214,19.528804052463748,-1.380524621486161,3.0675773672307345e-05,2.665989564290799
19,0.27919767392040895,0.10800000000000003,9.4881927215054,0.3080462435610077,19.72743216620256,-1.3875321824650386,3.098777798376647e-05,2.6756144161596436
20,0.2952513604173668,0.11400000000000003,9.53286637058451,0.311154299929089,19.926347281354765,-1.3945145791247449,3.130023311599154e-05,2.685256910058584
21,0.3113629018777183,0.12000000000000004,9.577379881153828,0.3142667324505669,20.12554247353701,-1.401471946335854,3.161312819218661e-05,2.6949169163475366
22,0.3275324033758035,0.12600000000000003,9.621734112089394,0.31738343445352085,20.32501091574173,-1.4084044183406532,3.1926452488513285e-05,2.7045943060149797
23,0.3437599692118934,0.13200000000000003,9.665929918231235,0.3205043007686535,20.524745877129135,-1.4153121287505857,3.2240195432193143e-05,2.714288950679969
24,0.3600457029159732,0.13800000000000004,9.709968150368097,0.32362922771059305,20.724740721830575,-1.4221952105438662,3.255434659962808e-05,2.724000722594004
25,0.37638970725153725,0.14400000000000004,9.753849655223274,0.32675811305937275,20.924988907763172,-1.4290537960632677,3.2868895714538345e-05,2.733729494642726
